Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_Hamilton_1960_60132-146	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 146]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.25483 ; longitude -80.196762
AirPhotos_Hamilton_1960_60132-148	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 148]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.241576 ; longitude -80.161057
AirPhotos_Hamilton_1960_60132-150	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 150]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.22832 ; longitude -80.125179
AirPhotos_Hamilton_1960_60132-152	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 152]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.214935 ; longitude -80.089302
AirPhotos_Hamilton_1960_60132-154	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 154]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.201672 ; longitude -80.053596
AirPhotos_Hamilton_1960_60132-156	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 156]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.188407 ; longitude -80.018063
AirPhotos_Hamilton_1960_60132-158	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 158]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.175138 ; longitude -79.9827
AirPhotos_Hamilton_1960_60132-160	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 160]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.161742 ; longitude -79.946995
AirPhotos_Hamilton_1960_60132-162	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60132-Photo 162]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.148343 ; longitude -79.911118
